CC,Year,EPS,Share WIP,Block,GDPpc,Education
TUR,1997,0.5,2.3636363,0.0,11650.893985,7.3224893
TUR,1998,0.5,2.3636363,0.0,8937.587566,7.8393312
TUR,1999,0.5,4.181818,0.0,8625.279388,8.7134142
TUR,2000,0.77777779,4.181818,0.0,9476.598346,8.8802376
TUR,2001,0.77777779,4.181818,0.0,9143.328196,9.1435289
TUR,2002,0.83333331,4.3636365,0.0,9279.072677,10.491946
TUR,2003,0.83333331,4.3636365,0.0,9597.936618,11.389406
TUR,2004,0.83333331,4.3636365,0.0,10884.319337,11.481482
TUR,2005,0.77777779,4.3636365,0.0,11910.606724,12.508089
TUR,2006,1.6111112,4.3636365,0.0,13640.767727,13.459621
TUR,2007,1.6111112,9.107468,0.0,14864.955058,14.199503
TUR,2008,1.6388888,9.107468,0.0,16038.231645,15.463108
TUR,2009,1.6944444,9.107468,0.0,15442.774202,16.639408
TUR,2010,2.5555556,9.107468,0.0,17345.833613,17.447386
TUR,2011,2.7777777,14.181818,0.0,19590.858369,18.87298
TUR,2012,2.3888888,14.181818,0.0,20627.440729,20.998264
TUR,2013,2.5277777,14.416059,0.0,22373.136543,22.456688
TUR,2014,2.5277777,14.416059,0.0,24104.984583,24.793388
TUR,2015,2.6111112,14.909091,0.0,25855.912681,27.517448
TUR,2016,2.6944444,14.909091,0.0,26695.909373,30.456598
TUR,2017,2.7777777,14.571949,0.0,28193.061398,31.588659
TUR,2018,2.7222223,17.449665,0.0,28281.473275,33.280041
TUR,2019,2.8888888,17.449665,0.0,28011.322789,35.325356
TUR,2020,2.8888888,17.317488,0.0,27973.899303,
